Name,URL,Description,Address,Tags,Verified
16 Hands,,,,Shopping,
42 Degrees,,,,,
Adorn Me,,,,Shopping,
Afternoon Delight,,"Receive a free brownie or other dessert on your birthday ""w/ additional purchase"" (which means at least an entree) ",,Lunch,3/26/2018
Angelo’s,,50% off the less expensive of two entrees,,"Breakfast, Lunch",1/17/2014
Ann Arbor Comedy Showcase,,,,Shows,
Ann Arbor PTO Thrift Shop,,,,"Shopping, Thrift",
Ann Arbor Sewing and Quilting Center,,,,Shopping,
Applebee’s,,Free dessert [shot glass sized] and birthday song.,,"Lunch, Dinner",
Arbor Brewing Company,,Complimentary dessert or house draft with purchase,,"Dinner, Drinks",
Argus Farm Stop,,Free drink. Liberty St location,,Coffee/Tea,04/11/18
Avalon,,Free drink.,,,
Ashley's,,"Free Tollhouse sundae, with purchase of food.",,"Happy hour, Drinks, Dinner",10/21/11
Ben and Jerry’s,,Free one scoop cup or cone on your birthday (non-dairy included),,Dessert,3/9/19
Big Boy,,Free dessert. Must ask for manager.,,Dessert,
Black Pearl,,"Free chocolate molten cake. Note: not sure if requires purchase, had already ordered drinks when I asked for this offer.",,Dessert,11/10/17
Blue Tractor,,Free dessert with purchase of an entree,,"Lunch, Dinner",11/2017
Bomber Ypsilanti,,Happy Birthday! Complimentary Cap'n Crunch French Toast treat on your birthday. Must order breakfast or lunch entree. Â Be sure to show Team Bomber (waitstaff) your I.D. or driver's license,,"Breakfast, Lunch",3/26/2018
Brown Jug,,,,Drinks,
Bruegger’s Bagels,,,,,
BTB Cantina,,,,Drinks,
Bubble Island,,Free medium-sized bubble tea.,,Drinks,02/19/2019
Buffalo Wild Wings,,Free dessert with purchase.,,,
Cafe Zola,,Free dessert crepe with purchase of an entree. Must present ID.,,Lunch,3/15/2018
Cardamom,,Free dessert (except cake). ,,Lunch,3/29/2014
Carlyle Grill,,Â 1/x % off total bill depending on group size (x).,,Dinner,9/24/2017
Carol Roeda Studio,,,,,
Carson’s American Bistro,,"Offer only available on your birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining 33% off, 4 people dining 25% off and so on. Not valid with any other promotion, offer or discount. [",,Dinner,1/20/2015
Catching Fireflies,,,,,
Chela’s Restaurant & Taqueria,,Free flan on the day of your birthday,,"Lunch, Dinner",4/2017
Chop House,,"Offer only available on your birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining 33% off, 4 people dining 25% off and so on. Not valid with any other promotion, offer or discount. ",,Dinner,1/14/2018
Circus,,,,Drinks,
Common Cup Coffeehouse,,,,,
Cottage Inn,,"get percentage off your bill based on number in your party (if there are 4 ppl at your table, you get 25% off your bill) on the day of your birthday (proof required). No longer a free entree. ",,Dinner,Dec-16
Cupcake Station,,Free mini cupcake on your birthday.,,Dessert,3/26/18
Denny’s,,Free Grand Slam breakfast with ID. Day of bday only. ,,Breakfast,11/27/2018
FOUND,,,,,
Frita Batidos,,Free churro on your birthday.,,"Lunch, Dinner",3/15/18
Good Time Charley’s,,Free dessert with purchase of entree.,,Dinner,
Grange Restaurant,,Free dessert with purchase of an entree,,"Lunch, Dinner",
Gratzi,,"Offer only available on your birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining 33% off, 4 people dining 25% off and so on. Free dessert too! Not valid with any other promotion, offer or discount.",,Dinner,11/10/16
Great Harvest,,Free cookie,,,3/26/18
Grizzly Peak,,"Free dessert with purchase of an entree and $10 gift cardÂ (that expires in 1 month)Â if your total bill exceeds $25.Â They used to give a Grizzly Peak logo pint glass but when I visited on 3/29/15, they said they don't do that anymore.",,,10/26/15
heavenly metal,,,,,
Iorio’s Gelateria,,Free small (piccolo) gelato.,,,02/19/2019
