,Name,URL,Description,Address,Tags,Verified,latlng
9,Arbor Brewing Company,,Complimentary dessert or house draft with purchase,"114 E Washington St, Ann Arbor, MI 48104","Dinner, Drinks",,"[42.2802955, -83.7478455]"
10,Argus Farm Stop,,Free drink. Liberty St location,"325 W Liberty St, Ann Arbor, MI 48103",Coffee/Tea,18-04-11,"[42.2789743, -83.75209629999999]"
11,Avalon,,Free drink.,"120 E Liberty St, Ann Arbor, MI 48104",,,"[42.2793663, -83.7476776]"
12,Ashley's,,"Free Tollhouse sundae, with purchase of food.","338 S State St, Ann Arbor, MI 48104","Happy hour, Drinks, Dinner",11-10-21,"[42.27807, -83.7411423]"
13,Ben and Jerry’s,,Free one scoop cup or cone on your birthday (non-dairy included),"304 S State St, Ann Arbor, MI 48104",Dessert,19-3-9,"[42.279075, -83.741064]"
15,Black Pearl,,"Free chocolate molten cake. Note: not sure if requires purchase, had already ordered drinks when I asked for this offer.","302 S Main St, Ann Arbor, MI 48104",Dessert,17-11-10,"[42.2794212, -83.7488981]"
16,Blue Tractor,,Free dessert with purchase of an entree,"207 E Washington St, Ann Arbor, MI 48104","Lunch, Dinner",11-2017,"[42.2806296, -83.7469307]"
18,Brown Jug,,"Free shot, bartender's choice. Must have a server to receive this; you can no longer walk up to the bar and ask for it.","1204 S University Ave, Ann Arbor, MI 48104","Lunch, Dinner, Happy Hour, Drinks",,"[42.2747894, -83.73427939999999]"
20,BTB Cantina,,"Buy one, get one free shot on your 21st.","1140 S University Ave, Ann Arbor, MI 48104",Drinks,,"[42.27475159999999, -83.7348139]"
21,Bubble Island,,Free medium-sized bubble tea.,"1220 S University Ave #100, Ann Arbor, MI 48104",Drinks,2019-02-19,"[42.2747512, -83.7334029]"
22,Buffalo Wild Wings,,Free dessert with purchase.,"205 S State St, Ann Arbor, MI 48104",,,"[42.2800508, -83.7405406]"
23,Cafe Zola,,Free dessert crepe with purchase of an entree. Must present ID.,"112 W Washington St, Ann Arbor, MI 48104",Lunch,15-03-2018,"[42.28069989999999, -83.749275]"
29,Chop House,,"Offer only available on your birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining 33% off, 4 people dining 25% off and so on. Not valid with any other promotion, offer or discount. ","322 S Main St, Ann Arbor, MI 48104",Dinner,14-01-2018,"[42.2787989, -83.74882649999999]"
30,Circus,,Free shot (I had to choose from the shots on special that night).,"210 S 1st St, Ann Arbor, MI 48104",Drinks,,"[42.2801068, -83.75141169999999]"
31,Common Cup Coffeehouse,,One small free drink.,"1511 Washtenaw Ave, Ann Arbor, MI 48104",Coffee/Tea,18-01-19,"[42.2739552, -83.72847759999999]"
33,Cupcake Station,,Free mini cupcake on your birthday.,"116 E Liberty St, Ann Arbor, MI 48104",Dessert,18-3-26,"[42.279433, -83.74776]"
36,Frita Batidos,,Free churro on your birthday.,"117 W Washington St, Ann Arbor, MI 48104","Lunch, Dinner",18-3-15,"[42.2803254, -83.749441]"
37,Good Time Charley’s,,Free dessert with purchase of entree. Free shot from ultimate shooter list on your 21st with ID of course. ,"1140 S University Ave, Ann Arbor, MI 48104","Dinner, Drinks",,"[42.27475159999999, -83.7348139]"
41,Grizzly Peak,,"Free dessert with purchase of an entree and $10 gift cardÂ (that expires in 1 month)Â if your total bill exceeds $25.Â They used to give a Grizzly Peak logo pint glass but when I visited on 3/29/15, they said they don't do that anymore.","120 W Washington St, Ann Arbor, MI 48104","Drinks, Lunch, Dinner",15-10-26,"[42.2807158, -83.7495654]"
43,Iorio’s Gelateria,,Free small (piccolo) gelato.,"522 E William St, Ann Arbor, MI 48104",Dessert,2019-02-19,"[42.2776968, -83.7422486]"
44,Jolly Pumpkin,,Free dessert (anything but chocolate flight) plus $10 gift card (expires in 1 month). Requires entree purchase.,"311 S Main St, Ann Arbor, MI 48104","Drinks, Lunch, Dinner",13-5-14,"[42.27914750000001, -83.74823769999999]"
46,Knight’s Steakhouse,,Free dessert on the day of your birthday,"600 E Liberty St, Ann Arbor, MI 48104",,13-4-12,"[42.2792335, -83.7418375]"
48,Marnee Thai,,Free Thai Ice Tea or Thai Iced Coffee with purchase of lunch special. Half off entree. Must provide ID.,"414 S Main St, Ann Arbor, MI 48104","Lunch, Dinner",,"[42.277408, -83.7490468]"
51,Michigan Creamery,,"50% off any cup, cone, or sundae.","302 S State St, Ann Arbor, MI 48104",,2018-03-11,"[42.2791496, -83.7410697]"
52,Northside Grill,,Receive a free breakfast or lunch entree until 3pm with ID. You do need to pay for your drink and tip. Excludes takeouts.,"1015 Broadway St, Ann Arbor, MI 48105","Breakfast, Lunch",08-12-2018,"[42.2894354, -83.73927499999999]"
58,Pretzel Bell,,"On your birthday, if you are dining in - you get a small Pretzel Bell (literally, a small bell) and a coupon for $10 off your next visit. Expires in one month. ","226 S Main St, Ann Arbor, MI 48104",Lunch,10-11-2016,"[42.27974529999999, -83.7490054]"
61,Real Seafood Company,,"On day of birthday with valid ID - driver's license for adults and/or birth certificate for children. Offer only extends to the food portion of the bill (tax, gratuity and alcohol are excluded) and is based on the number of guests in your party; for example 2 people dining receive a discount of 50% off, 3 people dining 33% off, 4 people dining 25% off, etc.Â Dine-in only.Â Not valid with any other promotion, offer or discount. Valid all day, not just dinner.","341 S Main St, Ann Arbor, MI 48104","Lunch, Dinner",18-1-19,"[42.278402, -83.748448]"
63,Roost Roast,,Free drip coffee or long pull.,"117 E Liberty St, Ann Arbor, MI 48104",Coffee/Tea,18-12-8,"[42.279734, -83.74773979999999]"
70,TeaHaus,,Free small brewed tea of your choice.,"204–206 N 4th Ave, Ann Arbor, MI 48104",,2019-02-19,"[42.2825676, -83.7469515]"
71,The Blue Leprechaun,,"Buy one, get one free, your choice (alcoholic drinks)","1220 S University Ave #109, Ann Arbor, MI 48104","Lunch, Dinner, Happy Hour, Drinks",12-4-12,"[42.2747512, -83.7334029]"
79,Zingerman’s Delicatessen,https://www.zingermansdeli.com/,15% discount on everything you buy at Deli or Next Door on your birthday.,"422 Detroit St, Ann Arbor, MI 48104","Lunch, Dinner",26-03-2018,"[42.2846645, -83.74519169999999]"
